职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
Python高级开发工程师,广州五舟科技股份有限公司,1-1.5万/月,五险一金员工旅游年终奖金定期体检,广州|无工作经验|招若干人|03-13发布,岗位职责：1、承担云平台后台设计与开发工作；2、自动化测试运维平台设计与开发；3、承担大数据系统构建，部署，开发工作。岗位要求：Ansible，或Puppet/Chef背景PythonExtendingMicroservicesRabbitMQ，EtcdHadoop，Zookeeper/EurekaMongoDB，Redis沟通技巧与能力Docker，kubernetes能力广州高新技术产业开发区科学城开源大道11号B1栋第七层广州五舟科技股份有限公司民营公司150-500人,高级软件工程师系统架构设计师,广州高新技术产业开发区科学城开源大道11号B1栋第七层
Python工程师,广东智信信息科技股份有限公司,0.6-1万/月,五险一金交通补贴餐饮补贴通讯补贴专业培训绩效奖金每日7.5小时大小周弹性工作,潮州|2年经验|本科|招2人|03-13发布,1、本科及以上，计算机相关专业，三年以上工作经验；2、精通Python开发，了解机器学习算法；3、熟练使用Restful、django框架；了解Tornado、Flask；4、有良好的算法、数据结构基础及自学能力，有网络爬虫编程经验；5、熟悉zookeeper框架，或者自己实现过一种分布式应用服务；6、熟练使用多线程，多进程等并发方案，了解asyncio等异步框架者优先；7、熟悉Linux系统，掌握mySQL、Redis等数据库技术；8、了解异步框架、集群与负载均衡、消息中间件、容灾备份等技术；湘桥区福安路13号智信大厦广东智信信息科技股份有限公司民营公司50-150人,软件工程师,湘桥区福安路13号智信大厦
Python开发工程师,广州黑胡子游戏开发有限公司,1-1.5万/月,五险一金绩效奖金年终奖金餐饮补贴全勤奖节日福利生日礼金,广州-天河区|3-4年经验|本科|招1人|03-13发布,岗位职责：1、负责公司运维平台的开发，实现运维自动化管理；2、配合原厂完成他们对服务器如阿里云或者aws的权限划分、管理与监控等等；3、参与设计、开发、优化公司各应用系统和运维平台的体系架构；4、运维相关工作的技术支持岗位要求：1、计算机或相关专业，了解Linux，Windows基本操作，三年以上工作经验；2、熟悉Python，使用过Django、flask等应用框架，有过python项目经验者优先考虑；3、对云计算如阿里云、腾讯云、aws有一定的了解；4、有MySQL、redis、Linux基础知识；4、思维敏捷，富有创新精神，具备良好的分析判断能力；5、有良好的沟通能力和学习能力，对工作认真负责积极主动.天河直街30号金中环大厦37层广州黑胡子游戏开发有限公司民营公司150-500人,技术支持/维护工程师djangoREST，JWT,天河直街30号金中环大厦37层
初级Python开发工程师,广州云印信息科技有限公司,6-8千/月,员工旅游餐饮补贴年终奖金弹性工作专业培训,广州-黄埔区|1年经验|大专|招1人|03-13发布,岗位职责：1.负责公司后台应用开发、架构设计等2.参与需求以及技术可行性分析任职要求：1.大专以上学历，计算机、软件工程、自动化等相关专业毕业；2.具备Python开发经验1年以上；3.熟悉Python语言，至少熟悉一种框架，如Flask、Django等；4.熟悉前端的基本调试工具，并熟练掌握HTML5、CSS3、Ajax、vue等Web前端技术；5.熟悉MySQL、Oracle、redis；6.具有良好的代码习惯，结构清晰，命名规范，逻辑性强；7.有良好的团队精神和与客户的沟通能力；8.熟悉网络编程者优先科学城科汇金谷一街14号8楼广州云印信息科技有限公司民营公司50-150人,软件工程师初级Python开发,科学城科汇金谷一街14号8楼
python web  开发工程师,乐荐信息科技（北京）有限公司,1.2-1.5万/月,做五休二周末双休弹性工作带薪年假五险一金节日福利绩效奖金专业培训,广州-天河区|2年经验|本科|招1人|03-13发布,"工作职责:(1)与团队协同工作，致力于Web应用及服务器端HTTP接口开发，构建高性能、高可用性的产品，服务以及支持系统；(2)你将完成程序编制及单元测试，并确保开发过程遵循公司的相关开发规范；(3)你将负责维护并升级完成的程序代码，因为需求会经常变更；(4)与产品及测试团队或其他需要你支持的部门保持良好的沟通；(5)我们可能需要你在压力下工作，以期保证产品服务的开发进度。背景知识及技能要求:(1)熟悉Web应用程序体系结构(LAMP)；(2)具备深厚的面向对象编程经验；(3)精通基于PythonDjango的Web应用开发；(4)具备良好的面向对象程序设计基础；(5)熟悉HTTP协议、HTML规范，了解AJAX技术，深入了解HTML5的特性集；(6)精通基于JQuery的JavaScript程序；(7)熟悉MySQL/PostgreSQL数据库,善用数据库建模工具进行数据库的设计；(8)熟悉Linux服务器系统环境，掌握必要的UnixShell的用法；(9)熟悉Apache服务器的配置；(10)良好的代码书写规范。广东广州天河区体育东路108号创展中心17层1702乐荐信息科技（北京）有限公司民营公司50-150人",互联网软件开发工程师DjangopythonMySQLPostgreSQL,广东 广州 天河区 体育东路108号创展中心17层1702
Python机器学习工程师,广州佰锐网络科技有限公司,1.2-2万/月,周末双休带薪年假五险一金专业培训节日福利绩效奖金,广州|2年经验|本科|招3人|03-13发布,岗位职责：1、负责人工智能机器学习的研究、产品化落地；2、负责公司机器学习相关算法产品，如人脸识别、OCR、TTS等3、负责相关算法模型的设计、训练；任职要求：1.具有一定的深度学习研发背景，熟悉至少一种深度学习框架，如：TensorFlow、Keras、Caffe、Theano、ConvNet、Torch等；2.掌握Python/Matlab/C++语言，在至少一个领域有深入的研究，如：深度神经网络、语义分析、模式识别、机器视觉；3.对有研究开源处理框架，比如opencv、dlib等等，优先考虑；广州市天河区天河软件园建工路9号309、310室广州佰锐网络科技有限公司民营公司50-150人,高级软件工程师互联网软件开发工程师机器学习,广州市天河区天河软件园建工路9号309、310室
Python高级开发工程师（员工宿舍）,广东嘉泰智能技术有限公司,0.8-1万/月,餐饮补贴绩效奖金意外保险员工旅游通讯补贴健身俱乐部社会保险定期团建员工宿舍电脑补贴,佛山-南海区|3-4年经验|本科|招若干人|03-13发布|计算机科学与技术,*员工公寓，无需租房；*工作饭堂，健康饮食；*高新行业，风口起飞；*业绩稳健，更多机会；*专业导师，更快成长；*医保社保，规范管理；*法定假日，生活平衡。方向一初级工程师—中级工程师—高级工程师—专家/顾问—总工程师/合伙人方向二初级工程师—技术主管—技术经理—技术总监—合伙人佛山千灯湖金融高新区夏西国际商务区B4栋4楼嘉泰集团1、广佛线礌岗站B出口，导航骑分享单车到佛山民间金融街园区B4栋，电梯上4楼；2、广佛线礌岗站B出口，转公交119、桂04、桂13、桂20，坐2站至“佛山民间金融街”下车步行至B4栋。千灯湖金融高新区夏西国际商务区B4栋4楼嘉泰集团广东嘉泰智能技术有限公司民营公司少于50人,高级软件工程师互联网软件开发工程师工业教育能源python数据库高级工程师,千灯湖金融高新区夏西国际商务区B4栋4楼嘉泰集团
Python开发工程师,广州宝巨信息技术有限公司,0.8-1.5万/月,员工旅游交通补贴五险一金餐饮补贴通讯补贴绩效奖金弹性工作定期体检,广州|2年经验|大专|招若干人|03-13发布,岗位职责：1、负责Python相关项目开发；2、参与编写项目设计与开发文档。职位要求：1、2年以上Python开发经验；2、熟悉常用python库，熟悉各种python框架，了解整个python生态环境；3、熟悉MySQL及MongoDB、redis非关系型数据库、了解Linux操作系统、有良好的代码规范、了解GIT；4、熟悉前端开发技术，熟悉JavaScript，并且熟练使用JQuery框架；5、对缓存有深刻理解，有丰富的MemCache使用经验者优先；6、对OOP、MVC开发方式有深入理解。天河区天河北路689号光大银行大厦1005广州宝巨信息技术有限公司民营公司50-150人,软件工程师互联网软件开发工程师Python,天河区天河北路689号光大银行大厦1005
Python/Django 开发工程师,时互康联健康科技（北京）有限公司（V大夫）,1-2万/月,做五休二带薪年假五险一金加班补贴节日福利绩效奖金专业培训,广州-海珠区|2年经验|本科|招1人|03-13发布,岗位职责1.后（前）端开发2.数据挖掘3.机器学习（推荐算法）4.大数据系统架构规划和搭建技能要求1.基础要求（满足这部分的话，欢迎你来投简历面试，我们给你挑战）：Python/django中小规模项目（前后端）开发经验，系统（服务器和主流数据库）运维经验，喜欢学习，拥有自驱力2.进阶要求（满足这部分的，加入我们来发现自己的梦想）：机器或深度学习、大数据项目，愿意拥抱未知和挑战3.高阶要求（如果你满足这些要求，赶快来一起合并梦想）：熟悉推荐（文本/音频/视频）算法，拥有创业梦想，愿意投入未来3～5年在同一领域深耕职位诱惑：成长型产品驱动创业公司，正能量良师益友，舒适的工作环境，个人发展空间巨大TIT创意园时互康联健康科技（北京）有限公司（V大夫）外资（非欧美）150-500人,软件工程师,TIT创意园
Python开发工程师,广州掌昆网络科技有限公司,1-1.5万/月,节日福利包三餐全勤奖周末双休带薪年假六险一金绩效奖金年终双薪年终奖金旅游体检,广州-海珠区|2年经验|本科|招1人|03-13发布,"1、负责面向用户层web服务开发(微信公众号/pc移动官网等)2、进行相关产品的技术文档编写,使用说明1、计算机本科相关专业，2年以上pythonweb开发经验2、熟练使用mysql/pg，redis3、熟悉django/flask框架4、有责任心，良好学习能力和团队协作能力，善于思考者优先5、责任心强，能扛压，对数据敏感，对游戏行业有一定了解福利看这里<^_^>入职：免费体检、即购买六险一金上班：朝九晚六、双休真弹性时间节日：法定假日、不止惊喜伴手礼薪资：年终双薪、绩效和年终奖金饮食：下午茶、包午晚餐、零食柜团队：月团建、年旅游、体育运动卡氛围：温馨简单、扁平化管理爱学习快加入我们吧！带你玩转游戏的海洋，并且收获一群可爱的小伙伴！琶洲保利中悦广场36楼02房广州掌昆网络科技有限公司民营公司50-150人",互联网软件开发工程师软件工程师pythonweb服务端,琶洲保利中悦广场36楼02房
