职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址
客服专员,广州市莫拉图通信设备有限公司,3-4.5千/月,,广州-黄埔区|无工作经验|大专|招1人|03-01发布,1、接待通过网络或者电话等方式主动联系我司的新客户。及时准确的回复其需求和问题，争取与之达成交易；2、将公司分配的客户信息进行详细分析，了解每个客户的业务模式和合作机会，进而向其宣传我公司的资质、优势，激发客户的合作热情；3、学习基本的通讯原理，全面且清晰的了解产品功能、行业应用场景和客户对产品的看法，从而提升成交率；4、完成与公司商讨后制定的销售任务，并细化为季度和月度的任务量。5、在网络上搜索目标客户，并向其介绍和推销公司的产品和服务；或通过现有的客户的资源，让客户进行转介绍等二次机会挖掘；6、定期回访老客户，维持客情关系，争取销售机会。1、18-28岁，大专及以上学历；2、欢迎应届毕业生前来面试；有一年以上的电话或面对面销售经验者优先。3、性格活泼开朗、口齿伶俐、勤奋、有耐心，责任心强。4.、热爱销售工作，并希望通过销售工作提升自我能力。5、可以从事此职位2年以上时间。1、工资：3500-4500元/月2、工作时间：周一到周六（9：00-12:0013:30-18:00），每个月有一周为双休；3、提供专业技能培训和职位升迁机会；4、节假日按相关规定实行。5、缴纳社保；6、其他要求面议；黄埔区大壮国际广场g4座1729广州市莫拉图通信设备有限公司民营公司少于50人,网络/在线销售电话销售客服网络销售在线销售售前支持售后支持,黄埔区大壮国际广场g4座1729
传输设计实习生,广州市瑞通信息科技有限公司,3-6千/月,五险一金通讯补贴绩效奖金年终奖金,阳江|无工作经验|大专|招5人|02-27发布,工作内容：1．参与公司对外合作项目，与一流咨询设计公司的优秀工程师共同工作，快速成长。2．主要参与通信运营商的工程勘察设计，以及其他技术支撑服务工作。工作职责：1．参与项目勘察、设计、绘图等设计文件编制工作；2．协助工程师完成资料整理、录入和概预算；3．完成主管及项目经理交办的其他工作。任职要求：1．经过培训后，掌握CAD制图软件；2．具备通信、电子信息专业知识或相关工作经验优先；3．中技及以上学历；4．工作耐心细致，性格沉稳，接受能力强，学***动性强；5．身体健康，能吃苦耐劳，适应加班和出差。阳春市春城镇广州市瑞通信息科技有限公司民营公司少于50人,有线传输工程师通信技术工程师通信工程设计,阳春市春城镇
Java实习生,广州云智通信息科技有限公司,1.5-2千/月,,广州-番禺区|无工作经验|大专|招1人|02-26发布,岗位职责1、在软件项目经理的领导下，配合完成程序设计和开发。2、按产品需求进行软件设计和编码实现，确保安全、质量和性能。3、参与内部测试、部署、实施等工作。4、分析并解决软件开发过程中的问题。任职资格1、计算机及相关专业毕业，大学专科及其以上学历，欢迎在校实习生；2、了解HTML/XML、JavaScript、CSS、JSP、Java语言及SQL；3、熟悉WebService、AJAX等技术；4、精通主流数据库；5、具有良好的沟通能力和团队合作精神；6、做事认真、严谨，能够承受一定压力；花城互联网创新创意园广州云智通信息科技有限公司民营公司少于50人,软件工程师Java实习生后台开发,花城互联网创新创意园
销售代表（双休、五险、高提成）,深圳市心云科技有限公司,3-6千/月,五险一金周末双休带薪年假弹性工作,广州-天河区|无工作经验|大专|招6人|03-13发布|粤语良好,销售代表岗位职责：1.完成上级领导安排的工作任务，积极开拓客户、市场；2.客户信息的搜集、关注客户需求，为客户提供解决方案；3.建立、管理客户关系，完成销售任务；4.收集整理市场、客户、竞手信息，具备一定的市场分析能力。任职要求：1.喜欢做销售，喜欢挑战自己，对互联网感兴趣的；2.计算机通讯类或市场营销类相关专业毕业者优先考虑；3.积极热情，善于与人沟通，性格外向，坦诚、自信、有足够的耐心和亲和力；4.工作中具有较强的主动性、积极性与创造性；5.有网络、系统方面认证的面试者可以优先考虑。薪资福利待遇：1.底薪+通讯补贴+交通补贴+合同提成2.购买五险一金3.法定假日+带薪年假+年终奖黄埔大道西76号富力盈隆2908深圳市心云科技有限公司民营公司少于50人,客户代表销售助理IDC销售云专线云服务器云数据库应用优化互联网大数据,黄埔大道西76号富力盈隆2908
运维实习生,广州乐途传媒有限公司,3-4.5千/月,,广州-番禺区|无工作经验|大专|招若干人|03-13发布|计算机网络计算机应用,一、岗位职责：负责地铁wifi无线网络的日常巡检，定期维护、日常检修、日常维护等工作任务；负责地铁wifi无线网络的现场调试和运行维护；负责地铁wifi无线网络现场分析问题、现场处理问题的能力；提交地铁wifi项目现场运行分析报表，拟定项目工作计划，负责分析、整理地铁wifi运行记录，并提出相应的改进建议，优化运行性能等能力。二、任职要求：1、大专及以上学历，计算机网络或通信相关专业毕业，具有扎实的计算机软硬件与网络基础知识；2、熟悉车站层面以下工作:[接入层]（1）车站57交换机配置（2）车站57下联站台站厅POE交换机的配置（3）车站57交换机下联轨旁AP的配置（4）车站57下联PIDS接入交换机的配置3、能适应较强频度的夜班倒班制度。大石街群贤路地铁线网调度中心4楼广州乐途传媒有限公司民营公司50-150人,技术支持/维护工程师网络运维PIDS技术夜班,大石街群贤路地铁线网调度中心4楼
Java开发工程师,中山市汉普教育培训有限公司,6-8万/年,,中山|无工作经验|大专|招若干人|03-13发布,主要职责：1、服务于计算机信息项目的建设及维护工作；2、负责电力通信类、电子政务类、金融征信类应用系统的开发及维护等。任职要求：1、计算机软件/网络工程/通信工程等相关专业，大专或以上学历；2、具备扎实JAVA基础，良好的代码风格；熟悉J2EE规范和常用设计模式；（有一年以上项目开发经验优先）3、熟悉常用框架的中间件，入SpringBoot、SpringMVC、myBatis、JFinal、Redis、MQ等；（熟悉分布式、微服务、虚拟化、大数据、3D可视化等前沿技术或有关项目经验优先）4、熟悉数据库原理，熟悉编写SQL语句、存储过程等；至少熟悉MySQL、Qracle、Db2等常用数据库中的其中一个；5、愿意从事系统研发，有刻苦钻研精神；工作主动景墙，有责任心，具备良好的沟通能力；6、具有良好的团队合作精神和职业稳定性，能承受项目压力。薪资待遇：年薪6w以上，入职购买五险，有节日慰问金等福利，五天八小时工作制，周末双休，五桂山上班，可提供食宿中山市博爱六路中山市汉普教育培训有限公司民营公司150-500人,软件工程师,中山市博爱六路
运维工程师,深圳市优苗健康科技有限公司,3-5千/月,,广州-天河区|无工作经验|大专|招2人|03-13发布,远洋新三板孵化基地5号108深圳市优苗健康科技有限公司民营公司少于50人,技术支持/维护工程师技术支持运维系统实施,远洋新三板孵化基地5号108
内容编辑,广州浩传网络科技有限公司,3-4.5千/月,,广州-天河区|无工作经验|大专|招若干人|03-13发布,岗位职责：1、根据公司需求，完成内容编辑输出；2、跟进运营数据，优化内容编排；3、持续输出有竞争力视频内容；4、负责视频内容的下载、打标签入库，内容审核和更新。岗位要求：1、有视频内容编辑经验，熟悉IPTV市场内容规范及要求；2、熟悉视频剪辑、转码工具的优先；3、愿意承担压力与挑战者优先；4、学习能力强的优秀实习生优先。元岗大道310号智汇PARKC座213室广州浩传网络科技有限公司民营公司50-150人,编辑内容编辑实习生文案,元岗大道310号智汇PARK C座213室
商务助理,广州天庭信息科技有限公司,4-6千/月,五险一金员工旅游通讯补贴专业培训出国机会绩效奖金年终奖金定期体检,广州-天河区|无工作经验|大专|招3人|03-13发布|普通话良好,岗位职责：1、负责项目实施，包括工作对接、项目的协调及开展。2、负责项目沟通，设定项目整体思路，监控项目进度。3、负责项目管理，按时推进项目进度，按质交付项目。4、负责项目验收，确保项目完成质量和品质。任职要求：1、具备良好的执行能力、质量意识、成本意识，2、具备良好的团队协作、协调沟通能力。3、具备良好的应急、应变能力。4、能够接受较长的工作时间安排，承受较强的工作压力。5、熟练使用office。天河路230号万菱汇国际商务中心A座2303房广州天庭信息科技有限公司民营公司少于50人,商务助理,天河路230号万菱汇国际商务中心A座2303房
ERP销售,广州市鼎和软件科技有限公司,3-4.5千/月,,广州-天河区|无工作经验|大专|招5人|03-13发布,"1、金蝶软件的销售，项目情况跟踪，完成销售任务和市场目标；2、负责公司新老客户的服务营销；3、负责协调客户、公司等内、外部资源，满足客户需求和提升客户满意；4、对云计算领域有浓厚的兴趣，具备良好的学习能力；【工作要求】1、大专及以上学历，应届毕业生亦可,计算机通信、财务等相关专业优先；2、有独立开发客户的能力，有较强的人际沟通能力、解决问题能力、执行能力强；3、为人坦诚自信，乐观进取，高度的工作热情，有良好的团队合作精神；4、能承受较大的工作压力并愿意挑战高薪。【工作时间】8:30-12:00，13:30-18:00【待遇】底薪+销售提成天河区中山大道中38号加悦大厦609房广州市鼎和软件科技有限公司民营公司少于50人",销售代表销售助理ERP销售销售助理销售代表,天河区中山大道中38号加悦大厦609房
